drafted,BB,GS,name,G,url,IP,H,L,handed,war,HR,R,ERA,W,team,short_team,K,ER
2010,75,0,Jake Petricka,181,/players/p/petrija01.shtml,178.0,190,11,RHP,2.4,12,78,3.84,7,White Sox,CHW,131,76
2010,42,0,Addison Reed,136,/players/r/reedad01.shtml,133.66666666666666,123,6,RHP,1.1,13,64,4.17,8,White Sox,CHW,138,62
2011,49,18,Erik Johnson,18,/players/j/johnser04.shtml,98.0,105,6,RHP,0.3,19,57,4.5,7,White Sox,CHW,77,49
2011,3,0,Scott Snodgress,4,/players/s/snodgsc01.shtml,2.3333333333333335,8,0,LHP,-0.3,1,7,15.43,0,White Sox,CHW,1,4
2011,13,5,Chris Bassitt,6,/players/b/bassich01.shtml,29.666666666666668,34,1,RHP,0.6,0,13,3.94,1,White Sox,CHW,21,13
2012,66,1,Chris Beck,97,/players/b/beckch02.shtml,119.66666666666667,138,4,RHP,-1.1,24,82,5.94,4,White Sox,CHW,81,79
2013,13,1,Tyler Danish,11,/players/d/danisty01.shtml,13.0,17,0,RHP,-0.0,2,7,4.85,2,White Sox,CHW,11,7
2013,14,0,Brad Goldberg,11,/players/g/goldbbr01.shtml,12.0,14,0,RHP,-0.3,2,11,8.25,0,White Sox,CHW,3,11
2014,211,83,Carlos Rodon,86,/players/r/rodonca01.shtml,494.3333333333333,467,29,LHP,6.6,61,241,4.01,26,White Sox,CHW,473,220
2014,25,1,Jace Fry,70,/players/f/fryja01.shtml,58.0,49,3,LHP,-0.2,5,36,5.12,2,White Sox,CHW,73,33
2014,25,0,Aaron Bummer,67,/players/b/bummeaa01.shtml,53.666666666666664,53,4,LHP,0.1,5,30,4.36,1,White Sox,CHW,52,26
2015,44,13,Carson Fulmer,24,/players/f/fulmeca01.shtml,67.33333333333333,65,7,RHP,-0.8,14,53,6.68,5,White Sox,CHW,58,50
2016,2,0,Ian Hamilton,10,/players/h/hamilia01.shtml,8.0,6,2,RHP,-0.1,2,5,4.5,1,White Sox,CHW,5,4
drafted,BB,GS,name,G,url,IP,H,L,handed,war,HR,R,ERA,W,team,short_team,K,ER
2006,98,52,David Huff,58,/players/h/huffda01.shtml,288.3333333333333,352,26,LHP,-1.4,41,197,5.4,18,Indians,CLE,162,173
